"","Country","AidRecieved","BirthByProS","PrimaryCompletion","ElecGenpCap","EnerUsepPsn","PrimaryExpd","SecndryExpd","TertiryExpd","DebtExternl","GPDpCapUSDl","MalnutLwWgt","AidRecdpPsn","BMImaleIndc","DroughtKill","EpdmcAffctd","EpdmcKilled","InfanttMort","GNItotalPPP","GovtCivlAid","HIVPlwha","HourCompens","HourCompns2","HoursprWeek","HealthExpnd","PovertyPPP","Ruralpovrty","TobaccoUse","AdultLitrcy","SEENRPRSCFM","SIPOVGINI","HealthExpGDP","TsunamiKill","UrbanPopulat","MaternalMort","MurderedMale","MurderFemale","OilConsumptn","SuicideFmale","SuicideMale","MaternalMort2"
"215","Sudan",0.651100668931356,0.461293743372216,0.240317021247609,NA,0.0201348908552235,NA,NA,NA,0.868958502753731,0.00430353798123894,0.396396396396396,0.925536110971702,0.819100148117313,1,0.998605856630472,0.990390775144138,0.588591184096802,0.994227574269412,NA,0.987689153812362,NA,NA,NA,0.0150239603667642,0.536382754994742,NA,NA,0.62430983774151,0.612204022744632,0.257852447041636,0.278704588271605,NA,0.25044009340758,0.748194110020374,0.471976911802204,0.579069277384625,NA,0.78282969657322,0.784590928579257,0.336976320582878
"216","Suriname",0.946189186357991,0.891834570519618,0.52410442304888,NA,0.0773663686065682,NA,NA,NA,NA,0.0250150844172331,0.846846846846847,0.840378560505991,0.598561451578184,NA,NA,NA,0.854796888504754,0.999751265598559,NA,0.999403565038197,NA,NA,NA,0.0607921381887791,0.714511041009464,NA,NA,0.928739121745882,0.882508698973097,0.686145605064524,0.32191712962963,NA,0.660083977007365,0.948231153917392,0.166869947115043,0.815860068782124,NA,0.649022850554536,0.484319409306257,0.883424408014572
"217","Svalbard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Swaziland",0.948016401538393,0.809119830328738,0.432589994161941,NA,0.022567964758609,0.274439367269291,0.124166335577424,0.166147045870955,0.946618144777135,0.0162202406509018,0.867117117117117,0.903393356944238,0.764582570056353,1,1,1,0.533275713050994,0.999597863174636,NA,0.966081779447637,NA,NA,NA,0.0379367863216379,0.36540483701367,0.107731305449937,0.903157894736842,0.837275695413289,0.689026563693457,0.652300949598247,0.296858462345679,NA,0.116229567091791,0.740600111131691,0.572853615744201,0.664457112692447,NA,0.596169345435402,0.755711295375418,0.710382513661202
"219","Sweden",NA,1,0.634714502758319,0.302683309575465,0.290239683970604,0.415218053831704,0.101763175661212,0.0213380730514788,NA,0.319127890164097,NA,NA,0.536020020784894,NA,1,1,0.994814174589456,0.973825442480452,0.29602652827741,0.998385696989611,0.228338686228294,0.228338686228294,0.81410737053327,0.448236179869928,NA,NA,0.627368421052632,NA,0.776135109904099,0.00730460189919651,0.483547437654321,NA,0.833907400754446,0.997221707723652,0.0348689740573544,0.98893796163477,0.124103576684062,0.785370957105262,0.753307008369936,0.998178506375228
"220","Switzerland",NA,1,0.621711727031122,0.165727671773446,0.179037683613617,0.321381720254363,0.102494435859669,0.0226305559571095,NA,0.371872489948486,NA,NA,0.548446764014478,NA,1,1,0.982713915298185,0.972858283934617,0.346821207211957,0.996439247563367,0.256233013126515,0.256233013126515,0.709419442685519,0.644405356895167,NA,NA,0.532631578947368,NA,0.760485445132818,0.218651083515948,0.600132919135802,NA,0.704843272857913,0.995184293387664,0.0398111405969904,0.992807486751934,0.11930857243029,0.708282560248003,0.704021862387699,0.994535519125683
"221","Syria",0.941499184412553,0.959703075291622,0.701959862207674,NA,0.0586362574013236,0.259392251237954,0.0417726567382972,NA,0.978622239134247,0.0134808831542264,0.779279279279279,0.94885425408486,0.49728712947506,1,1,1,0.90838375108038,0.9931783897474,NA,NA,NA,NA,NA,0.0189551544559027,0.823343848580442,NA,NA,0.786581709682013,0.775778664177204,0.269783296810324,0.0991823469135803,NA,0.506787767199569,0.982126319688831,0.0394104345144636,0.95737438993147,NA,0.987377330228046,0.990561087993225,0.938069216757741
"222","Taiwan",NA,NA,NA,0.185818528780968,NA,NA,NA,NA,NA,NA,NA,NA,0.673367109973185,NA,1,1,0.971477960242005,NA,NA,NA,0.854603803482367,0.854603803482367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.990090757547694,NA,NA,0.161870641827228,NA,NA,NA
"223","Tajikistan",0.89635754156503,0.819724284199364,0.704708543598495,NA,0.0181646720077978,NA,NA,0.00900646914962373,0.819271661765377,0.00176651772703645,0.668918918918919,0.916548982965366,0.721104650085321,1,1,1,0.591184096802074,0.998958153823288,NA,0.998046407640082,NA,NA,NA,0.0134713486425039,0.709358569926393,NA,NA,0.996101212842575,0.631910379360095,0.149257365473582,0.25818485308642,NA,0.175431111909466,0.971198370068531,0.102481947313667,0.965828061754277,NA,0.925571586539878,0.948551793579125,0.942622950819672
"224","Tanzania",0.519012914714993,0.458112407211029,0.563436694397027,NA,0.0244091808570195,0.336557444115028,0.0583444344193133,0.450687095871686,0.873936061700666,0.00346610965892298,0.628378378378378,0.915134150489263,0.813891094571265,1,1,1,0.688850475367329,0.995564563664705,NA,0.714293367428937,NA,NA,NA,0.00807879982110756,0.0765509989484753,0.567807351077313,0.783157894736842,0.568920355778284,0.74811168632776,0.313610908205503,0.259964692592593,0.999745748347364,0.177546254715286,0.614743471013151,0.457480321015543,0.529385880720547,NA,0.715513221048825,0.723528201233963,0.58287795992714
